,Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,TimeLine
10,1900-01-01 14:40:00,Saturday,18-30,1-2yr,Public (13?45 seats),Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,Not a Pedestrian,Changing lane to the left,Serious Injury,14,Afternoon
11,1900-01-01 14:40:00,Saturday,31-50,No Licence,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury,14,Afternoon
12,1900-01-01 17:45:00,Thursday,18-30,1-2yr,Public (> 45 seats),Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,17,Evening
13,1900-01-01 17:45:00,Thursday,31-50,5-10yr,Lorry (41?100Q),Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,Not a Pedestrian,No priority to vehicle,Slight Injury,17,Evening
14,1900-01-01 17:45:00,Thursday,31-50,Above 10yr,Automobile,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Not a Pedestrian,No distancing,Serious Injury,17,Evening
15,1900-01-01 22:45:00,Monday,18-30,Above 10yr,Lorry (11?40Q),Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Not a Pedestrian,No distancing,Serious Injury,22,Night
16,1900-01-01 22:45:00,Monday,18-30,5-10yr,Public (13?45 seats),Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,22,Night
17,1900-01-01 22:45:00,Monday,18-30,2-5yr,Public (13?45 seats),Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,22,Night
18,1900-01-01 22:45:00,Monday,18-30,2-5yr,Automobile,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,Not a Pedestrian,No priority to pedestrian,Slight Injury,22,Night
19,1900-01-01 08:20:00,Tuesday,18-30,Below 1yr,Long lorry,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,8,Morning
20,1900-01-01 08:20:00,Tuesday,Under 18,2-5yr,Lorry (41?100Q),Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,8,Morning
21,1900-01-01 15:10:00,Thursday,18-30,2-5yr,Lorry (11?40Q), Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Not a Pedestrian,Overtaking,Serious Injury,15,Afternoon
22,1900-01-01 12:11:00,Thursday,18-30,5-10yr,Lorry (41?100Q),  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Not a Pedestrian,Overloading,Serious Injury,12,Afternoon
23,1900-01-01 12:11:00,Thursday,31-50,Above 10yr,Public (12 seats), Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Not a Pedestrian,Changing lane to the right,Serious Injury,12,Afternoon
24,1900-01-01 18:36:00,Wednesday,18-30,5-10yr,Automobile,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,Not a Pedestrian,Improper parking,Slight Injury,18,Evening
25,1900-01-01 18:36:00,Wednesday,18-30,2-5yr,Taxi,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Not a Pedestrian,Other,Slight Injury,18,Evening
26,1900-01-01 18:36:00,Wednesday,18-30,5-10yr,Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury,18,Evening
27,1900-01-01 14:35:00,Friday,18-30,2-5yr,Automobile,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,14,Afternoon
28,1900-01-01 12:25:00,Tuesday,Over 51,5-10yr,Automobile,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,12,Afternoon
29,1900-01-01 12:25:00,Tuesday,18-30,1-2yr,Lorry (41?100Q), Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Not a Pedestrian,Overspeed,Slight Injury,12,Afternoon
30,1900-01-01 15:30:00,Monday,18-30,2-5yr,Automobile,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
31,1900-01-01 18:10:00,Thursday,18-30,Above 10yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury,18,Evening
32,1900-01-01 15:25:00,Thursday,18-30,Below 1yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Not a Pedestrian,Changing lane to the right,Slight Injury,15,Afternoon
33,1900-01-01 15:25:00,Thursday,31-50,2-5yr,Automobile,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,Not a Pedestrian,No distancing,Slight Injury,15,Afternoon
34,1900-01-01 13:57:00,Saturday,Over 51,Below 1yr,Automobile,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,13,Afternoon
35,1900-01-01 13:57:00,Saturday,18-30,5-10yr,Automobile,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Unknown or other,No distancing,Slight Injury,13,Afternoon
36,1900-01-01 20:30:00,Friday,18-30,1-2yr,Taxi,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,20,Night
37,1900-01-01 20:30:00,Friday,Over 51,Below 1yr,Automobile,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Not a Pedestrian,Other,Slight Injury,20,Night
38,1900-01-01 20:30:00,Friday,Over 51,5-10yr,Automobile,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,20,Night
39,1900-01-01 16:30:00,Sunday,Over 51,Below 1yr,Automobile, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,16,Evening
40,1900-01-01 16:30:00,Sunday,31-50,Below 1yr,Pick up upto 10Q,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,16,Evening
41,1900-01-01 21:50:00,Sunday,31-50,5-10yr,Automobile, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,21,Night
42,1900-01-01 21:50:00,Sunday,18-30,2-5yr,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,21,Night
43,1900-01-01 09:12:00,Wednesday,18-30,Above 10yr,Public (12 seats),Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,9,Morning
44,1900-01-01 09:12:00,Wednesday,18-30,Above 10yr,Public (13?45 seats),Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,9,Morning
45,1900-01-01 14:40:00,Friday,31-50,5-10yr,Lorry (11?40Q),Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,14,Afternoon
46,1900-01-01 10:36:00,Friday,31-50,1-2yr,Stationwagen,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury,10,Morning
47,1900-01-01 10:36:00,Friday,31-50,Below 1yr,Ridden horse,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,10,Morning
48,1900-01-01 18:19:00,Monday,18-30,Below 1yr,Stationwagen,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,18,Evening
49,1900-01-01 18:19:00,Monday,18-30,2-5yr,Automobile,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
50,1900-01-01 19:12:00,Tuesday,18-30,1-2yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,19,Evening
51,1900-01-01 19:12:00,Tuesday,31-50,5-10yr,Other,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,Slight Injury,19,Evening
52,1900-01-01 11:38:00,Saturday,Over 51,2-5yr,Taxi,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Not a Pedestrian,Other,Slight Injury,11,Morning
53,1900-01-01 11:38:00,Saturday,31-50,5-10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No distancing,Slight Injury,11,Morning
54,1900-01-01 11:38:00,Saturday,31-50,Above 10yr,Stationwagen, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,11,Morning
55,1900-01-01 11:38:00,Saturday,18-30,5-10yr,Automobile,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Overtaking,Slight Injury,11,Morning
56,1900-01-01 13:30:00,Thursday,18-30,5-10yr,Public (12 seats), Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,13,Afternoon
57,1900-01-01 13:30:00,Thursday,31-50,5-10yr,Automobile,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,13,Afternoon
58,1900-01-01 12:39:00,Tuesday,18-30,Above 10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,12,Afternoon
59,1900-01-01 12:39:00,Tuesday,Over 51,1-2yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,12,Afternoon
60,1900-01-01 12:30:00,Friday,18-30,2-5yr,Automobile, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,12,Afternoon
61,1900-01-01 12:30:00,Friday,31-50,1-2yr,Public (> 45 seats), Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overtaking,Slight Injury,12,Afternoon
62,1900-01-01 16:55:00,Sunday,31-50,5-10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Other,Slight Injury,16,Evening
63,1900-01-01 16:55:00,Sunday,31-50,5-10yr,Public (12 seats), Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,16,Evening
64,1900-01-01 18:25:00,Monday,Unknown,5-10yr,Public (12 seats),Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury,18,Evening
65,1900-01-01 18:25:00,Monday,31-50,Above 10yr,Automobile, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Unknown,Slight Injury,18,Evening
66,1900-01-01 13:01:00,Thursday,31-50,2-5yr,Automobile, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,13,Afternoon
67,1900-01-01 13:01:00,Thursday,18-30,Above 10yr,Automobile,Office areas,other,Tangent road with flat terrain,O Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Not a Pedestrian,No distancing,Slight Injury,13,Afternoon
68,1900-01-01 13:45:00,Wednesday,18-30,2-5yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,Slight Injury,13,Afternoon
69,1900-01-01 13:45:00,Wednesday,31-50,5-10yr,Public (12 seats),Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,13,Afternoon
70,1900-01-01 18:45:00,Monday,18-30,5-10yr,Lorry (11?40Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
71,1900-01-01 18:45:00,Monday,31-50,5-10yr,Automobile,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,18,Evening
72,1900-01-01 11:02:00,Thursday,31-50,5-10yr,Automobile,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,Overtaking,Slight Injury,11,Morning
73,1900-01-01 11:02:00,Thursday,31-50,Above 10yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,11,Morning
74,1900-01-01 11:02:00,Thursday,31-50,Below 1yr,Bajaj,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,11,Morning
75,1900-01-01 11:02:00,Thursday,31-50,5-10yr,Public (12 seats),Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,11,Morning
76,1900-01-01 15:55:00,Tuesday,Over 51,1-2yr,Lorry (11?40Q),Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Not a Pedestrian,Changing lane to the right,Serious Injury,15,Afternoon
77,1900-01-01 15:00:00,Wednesday,Over 51,5-10yr,Automobile,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,15,Afternoon
78,1900-01-01 20:00:00,Sunday,31-50,Above 10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,20,Night
79,1900-01-01 20:00:00,Sunday,Under 18,2-5yr,Automobile, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,20,Night
80,1900-01-01 18:48:00,Wednesday,31-50,1-2yr,Lorry (11?40Q), Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,18,Evening
81,1900-01-01 18:48:00,Wednesday,31-50,1-2yr,Lorry (41?100Q),Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Overturning,Serious Injury,18,Evening
82,1900-01-01 15:55:00,Sunday,Over 51,2-5yr,Pick up upto 10Q, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,15,Afternoon
83,1900-01-01 15:55:00,Sunday,Over 51,5-10yr,Lorry (11?40Q),Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Not a Pedestrian,No distancing,Slight Injury,15,Afternoon
84,1900-01-01 23:25:00,Wednesday,Over 51,2-5yr,Stationwagen,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,23,Night
85,1900-01-01 23:25:00,Wednesday,Over 51,1-2yr,Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,23,Night
86,1900-01-01 23:25:00,Wednesday,31-50,5-10yr,Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury,23,Night
87,1900-01-01 07:40:00,Monday,18-30,Below 1yr,Lorry (11?40Q),Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,7,Morning
88,1900-01-01 07:40:00,Monday,18-30,2-5yr,Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,7,Morning
89,1900-01-01 15:17:00,Sunday,31-50,5-10yr,Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Moving Backward,Fatal injury,15,Afternoon
90,1900-01-01 15:17:00,Sunday,31-50,Above 10yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,Fatal injury,15,Afternoon
91,1900-01-01 15:50:00,Monday,18-30,2-5yr,Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,Slight Injury,15,Afternoon
92,1900-01-01 15:50:00,Monday,18-30,Above 10yr,Lorry (41?100Q),Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,Slight Injury,15,Afternoon
93,1900-01-01 09:45:00,Sunday,Over 51,1-2yr,Automobile, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,9,Morning
94,1900-01-01 09:45:00,Sunday,Over 51,5-10yr,Pick up upto 10Q, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,9,Morning
95,1900-01-01 17:35:00,Thursday,18-30,2-5yr,Lorry (41?100Q),Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
